"","C_No_Treatment","C_Treatment_A","C_Treatment_B","E_No_Treatment","E_Treatment_A","E_Treatment_B"
"274",122125.638199011,305960.947693625,284269.013944768,20.6184532668875,22.5279333865904,21.2443553081837
"275",120867.471131562,278309.162378848,254574.691505973,21.9849390874593,23.6006600365848,22.7930600134069
"276",120245.297724286,375307.439070591,347740.502712186,18.6293667048469,20.6313200890033,19.2556079592076
"277",117438.498805922,303465.300625335,282840.032586384,20.6472790734025,22.4811984810424,21.4977985005763
"278",114578.714503472,299233.117191574,271494.416143527,21.2230946814384,22.7097875986275,22.1592417568383
"279",107094.220142287,280113.041515458,237557.114462901,21.092241614971,22.6594775779513,21.9216784470674
"280",117710.415233187,326279.917681358,314564.316320986,19.9676696667335,21.6385216033661,20.559001906655
"281",119876.223882785,330900.60047637,295538.350404955,19.7009957478797,21.3652914534515,20.5977557373754
"282",124064.413253251,337578.388625493,324397.088258696,19.26471794291,21.2055440528946,19.9686167460516
"283",127369.449555934,289955.977606948,280614.146353856,20.8612731466873,22.8597437877963,21.4659950683917
"284",119415.315575221,292715.392418245,261448.693595821,20.4932581810399,22.1536893530249,21.6875756352998
"285",125388.298911314,329299.590956634,316255.883790918,20.006175242893,21.9231078823864,20.8749466115109
